Product,Date,Sales,Quantity,Region
Product D,2022-02-15,4227.52,90,East
Product B,2021-05-23,3709.68,10,West
Product B,2022-03-06,4968.46,81,West
Product B,2020-05-30,4299.41,18,Central
Product B,2024-10-18,4576.63,48,North
Product B,2024-08-23,2729.27,69,North
Product E,2022-09-24,2465.94,2,North
Product E,2024-09-27,1056.97,41,West
Product B,2024-06-29,3420.34,4,East
Product C,2022-04-20,4174.59,71,Central
Product E,2024-08-13,4374.16,22,South
Product A,2022-12-19,2962.44,41,North
Product A,2022-02-14,3633.63,84,West
Product E,2024-08-21,1193.57,52,East
Product E,2024-08-17,3584.72,67,West
Product B,2021-06-02,2326.63,11,Central
Product C,2022-12-10,2731.98,73,South
Product A,2024-11-18,1332.61,73,Central
Product C,2020-04-12,4072.63,44,Central
Product E,2021-09-11,4445.28,94,East
Product B,2024-06-14,3701.54,33,Central
Product C,2024-02-01,4823.73,97,Central
Product B,2022-09-09,4736.78,92,Central
Product B,2019-12-13,436.96,74,South
Product E,2021-11-16,3590.47,33,Central
Product C,2024-09-29,4214.32,82,West
Product E,2021-11-03,1760.55,22,South
Product E,2021-08-02,1743.86,19,East
Product D,2021-12-20,1440.21,32,West
Product D,2021-12-27,4526.25,24,West
Product B,2022-02-21,4182.67,32,West
Product E,2023-03-13,3314.53,62,South
Product A,2024-05-03,827.64,36,North
Product A,2021-07-02,4699.06,90,Central
Product D,2020-01-11,4349.89,46,North
Product D,2023-07-25,645.39,78,South
Product D,2024-10-17,2531.21,80,West
Product B,2021-05-12,2056.13,34,Central
Product E,2022-09-06,3690.89,21,East
Product B,2021-03-11,4814.4,16,North
Product A,2021-12-23,2091.91,22,South
Product E,2024-05-20,561.75,94,South
Product D,2021-08-16,923.94,77,North
Product A,2021-03-01,1024.45,93,North
Product E,2020-05-17,4110.29,81,West
Product A,2020-01-01,2175.55,23,East
Product C,2022-10-13,4847.08,10,Central
Product D,2021-08-06,2457.27,57,South
Product A,2024-02-17,4565.79,63,South
Product C,2024-06-25,2343.43,94,North
Product A,2023-04-14,3829.33,64,South
Product B,2023-08-25,3451.77,94,Central
Product C,2022-02-19,2757.45,53,Central
Product E,2020-04-07,4690.39,34,South
Product D,2022-09-02,2604.86,47,West
Product C,2020-04-05,3057.29,58,Central
Product B,2022-11-09,1775.67,44,South
Product C,2022-04-15,2378.8,72,North
Product C,2019-12-10,3323.77,49,South
Product B,2021-02-11,1738.03,79,East
Product E,2022-02-19,2651.88,12,Central
Product A,2023-12-21,854.82,89,West
Product B,2020-01-10,2739.82,10,West
Product E,2023-04-24,3023.67,99,East
Product A,2022-04-08,3909.47,48,South
Product E,2020-09-01,118.97,83,West
Product B,2024-08-30,4428.7,56,East
Product C,2022-05-05,1257.21,70,West
Product C,2024-04-23,3423.12,69,South
Product E,2024-10-15,2256.21,77,East
Product E,2021-04-22,2381.45,22,East
Product C,2022-05-02,3216.23,92,East
Product E,2023-06-18,4814.52,62,West
Product A,2024-05-22,4190.11,86,South
Product B,2022-10-11,1487.71,17,West
Product D,2022-12-27,4347.94,16,West
Product E,2020-11-09,4009.84,86,East
Product B,2024-05-25,4695.29,57,South
Product E,2023-06-15,2117.42,92,Central
Product B,2024-10-16,720.91,42,Central
Product B,2022-05-13,2621.82,69,West
Product D,2024-09-06,4314.91,24,East
Product A,2024-04-27,3003.7,93,West
Product D,2022-06-26,1702.74,93,West
Product C,2020-08-21,1998.67,16,South
Product C,2023-09-05,3603.0,52,North
Product C,2020-08-02,3131.13,15,West
Product D,2022-07-29,1362.83,30,Central
Product B,2021-09-15,4719.81,10,Central
Product B,2019-12-16,1060.12,83,West
Product B,2024-02-09,3613.89,4,North
Product A,2022-03-19,1288.86,73,South
Product C,2022-04-29,4282.73,15,North
Product A,2023-12-04,2167.67,58,South
Product C,2021-07-26,3125.93,97,West
Product A,2022-08-30,2493.84,40,Central
Product B,2024-06-02,270.27,39,East
Product D,2023-10-20,1746.76,13,West
Product E,2023-03-18,521.96,97,North
Product E,2023-02-24,4396.06,71,South
