Product,Date,Sales,Quantity,Region
Product D,2019-12-04,3999.81,69,East
Product E,2022-10-29,1404.15,52,Central
Product A,2021-10-30,2754.21,28,West
Product B,2024-05-22,3175.42,46,Central
Product D,2024-11-19,3012.77,47,West
Product D,2022-12-29,983.07,90,East
Product D,2021-01-12,2295.68,60,South
Product E,2021-02-18,4458.99,33,West
Product B,2019-12-16,533.89,69,Central
Product E,2023-09-21,4726.53,52,South
Product E,2022-05-04,4853.28,97,North
Product C,2022-06-03,3192.09,27,Central
Product E,2021-11-20,2851.77,42,West
Product E,2021-07-27,2680.78,8,Central
Product B,2020-03-08,2425.45,6,North
Product C,2021-04-26,4879.57,50,East
Product E,2022-01-18,1385.75,17,South
Product E,2023-09-15,4539.84,92,South
Product C,2022-12-31,2201.42,12,West
Product D,2024-03-06,4961.08,54,North
Product A,2021-12-19,443.33,100,West
Product D,2022-01-09,3922.63,10,East
Product B,2023-08-05,4439.86,54,Central
Product E,2020-03-22,2253.99,24,South
Product C,2024-06-27,3804.18,24,West
Product E,2020-12-28,3738.45,54,East
Product E,2022-05-08,4090.75,51,North
Product B,2020-06-25,946.43,51,North
Product B,2021-08-01,2228.21,56,East
Product A,2020-05-31,3047.3,46,Central
Product D,2024-07-11,3174.84,23,East
Product B,2022-11-26,2906.87,17,West
Product D,2022-03-28,2430.21,53,South
Product B,2021-09-12,2996.79,68,West
Product B,2020-11-07,1458.05,89,South
Product A,2024-10-20,1646.03,52,North
Product D,2022-11-26,3072.65,75,South
Product A,2020-07-01,1432.77,92,West
Product B,2024-03-17,4275.3,36,North
Product E,2023-01-17,2693.52,50,North
Product D,2020-08-03,3160.75,19,Central
Product C,2021-09-17,2224.51,48,West
Product A,2021-07-16,1769.19,80,North
Product C,2024-01-18,788.38,93,South
Product B,2021-09-09,1164.75,56,North
Product B,2024-06-10,1565.04,37,South
Product E,2020-09-13,3719.11,35,North
Product E,2022-03-20,4380.63,90,West
Product B,2020-12-13,1885.71,93,Central
Product D,2024-06-23,4158.1,42,South
Product A,2023-02-22,3775.23,21,Central
Product B,2021-08-26,635.44,15,West
Product E,2020-07-27,4229.37,24,East
Product C,2023-02-26,1890.88,89,South
Product B,2021-08-20,4416.69,33,Central
Product E,2022-09-16,642.74,75,West
Product B,2020-11-22,1682.73,19,North
Product B,2023-03-12,4257.07,49,North
Product A,2022-07-28,1610.8,72,East
Product D,2022-01-03,3812.76,34,East
Product C,2023-07-01,1216.03,75,West
Product A,2024-04-28,2027.05,27,North
Product C,2024-10-07,294.73,54,South
Product A,2023-03-03,4488.3,100,North
Product A,2024-07-30,4426.93,98,West
Product E,2022-01-13,3083.0,6,East
Product B,2024-09-01,3199.32,3,East
Product C,2023-04-09,242.79,88,South
Product D,2022-04-28,468.81,32,South
Product E,2021-04-01,489.53,94,North
Product D,2024-01-26,1400.21,11,West
Product D,2022-12-12,3623.62,90,East
Product B,2020-09-15,771.18,1,North
Product A,2022-07-15,510.56,39,Central
Product B,2022-04-02,2930.37,45,North
Product D,2020-10-16,3285.31,81,South
Product C,2024-10-24,887.01,66,East
Product C,2024-02-27,948.25,48,South
Product B,2019-12-19,253.12,14,Central
Product D,2024-05-29,1328.51,17,West
Product A,2020-02-09,1307.01,13,West
Product A,2022-04-23,1225.02,51,North
Product A,2024-05-07,527.26,62,East
Product B,2024-01-23,2842.12,70,South
Product D,2024-04-05,1695.07,19,North
Product C,2023-06-12,2362.33,79,Central
Product C,2020-10-20,4781.95,36,South
Product C,2021-08-10,3960.65,89,South
Product C,2020-12-05,4743.66,59,East
Product A,2022-12-06,2272.65,20,Central
Product E,2023-09-03,192.45,9,Central
Product B,2022-07-22,730.57,38,North
Product D,2023-11-28,4839.51,87,North
Product A,2024-02-18,1546.1,60,Central
Product E,2023-10-10,392.78,86,West
Product E,2023-06-23,1344.56,16,South
Product C,2024-04-08,358.75,46,West
Product A,2024-02-04,4776.06,67,West
Product D,2020-08-03,4528.63,75,Central
Product E,2024-07-31,4581.68,5,West
