Product,Date,Sales,Quantity,Region
Product E,2022-09-07,3509.95,3,East
Product C,2023-12-24,3701.4,68,North
Product A,2024-10-21,4363.09,40,North
Product B,2024-06-28,4333.09,70,West
Product D,2020-03-13,3237.15,80,South
Product A,2024-03-04,1140.56,41,West
Product E,2023-11-21,819.22,26,North
Product E,2024-01-06,3065.85,82,Central
Product B,2021-11-04,914.17,80,West
Product B,2024-11-08,3685.05,93,Central
Product A,2020-07-17,4563.2,88,Central
Product C,2021-12-04,4942.17,30,East
Product D,2022-10-25,710.33,35,East
Product E,2021-08-19,4734.53,57,East
Product D,2020-05-16,4716.72,10,South
Product A,2021-07-15,720.45,46,Central
Product C,2020-09-09,4568.49,8,West
Product B,2024-01-26,4009.45,4,South
Product C,2022-06-16,3369.45,63,North
Product D,2024-09-08,3775.55,66,West
Product E,2023-01-25,2881.84,28,West
Product B,2021-10-11,650.59,40,South
Product B,2022-08-15,3915.25,10,Central
Product B,2020-04-27,3599.81,35,East
Product D,2019-12-25,1061.52,81,North
Product E,2020-03-21,2811.01,29,North
Product E,2024-09-26,1229.99,70,Central
Product C,2020-12-27,463.66,58,East
Product C,2021-12-15,3126.73,83,West
Product C,2023-10-08,198.02,17,North
Product A,2020-12-07,2491.34,60,North
Product E,2023-03-03,4409.21,53,East
Product A,2021-11-04,246.26,87,North
Product A,2021-04-24,1077.67,61,Central
Product D,2021-11-12,2894.89,20,Central
Product B,2024-10-04,3929.92,47,West
Product E,2021-06-04,968.86,96,South
Product D,2021-10-29,4923.32,24,South
Product E,2022-09-01,3532.28,93,Central
Product D,2020-09-24,2511.98,25,South
Product C,2020-09-14,3586.31,71,East
Product C,2023-04-21,4707.25,49,North
Product E,2020-10-16,3842.46,77,Central
Product A,2020-05-19,1648.11,98,East
Product D,2023-01-26,3342.18,32,East
Product E,2021-07-07,2623.65,45,Central
Product A,2021-01-22,469.82,60,North
Product B,2020-11-30,662.0,90,Central
Product E,2020-07-08,3921.48,75,South
Product B,2021-03-15,936.4,81,Central
Product B,2022-12-04,1853.25,36,East
Product D,2023-05-05,3697.83,43,West
Product B,2021-09-26,960.01,25,South
Product A,2022-12-12,4225.52,2,East
Product C,2024-08-27,3838.2,41,East
Product D,2023-01-17,1998.93,99,West
Product A,2020-07-19,4144.95,25,South
Product D,2022-10-19,273.96,37,South
Product A,2021-12-27,557.18,49,North
Product B,2024-06-04,1800.94,21,Central
Product A,2023-01-21,1387.85,49,West
Product E,2021-05-12,760.74,56,South
Product B,2023-12-02,4337.3,25,East
Product E,2024-07-18,1332.71,24,West
Product B,2021-01-08,3090.2,44,West
Product A,2022-10-27,808.7,70,Central
Product E,2020-01-23,474.48,62,Central
Product D,2021-05-10,1341.91,87,South
Product D,2021-08-11,2845.56,84,West
Product D,2024-03-21,405.05,98,North
Product D,2023-03-25,2289.89,73,West
Product D,2022-11-24,3202.81,66,West
Product A,2020-09-02,4650.94,71,Central
Product D,2022-03-20,1332.58,31,West
Product D,2022-07-10,1403.14,73,Central
Product B,2021-12-24,3786.59,5,East
Product B,2024-05-12,200.94,57,North
Product E,2022-04-02,4005.03,23,West
Product C,2024-01-29,109.86,25,South
Product E,2024-05-13,1184.63,47,West
Product C,2024-10-26,1044.95,92,East
Product D,2020-07-06,4147.34,55,Central
Product E,2022-07-30,3313.02,92,South
Product B,2022-03-19,1085.11,28,North
Product A,2024-02-16,2867.19,77,South
Product D,2022-01-03,3254.33,82,Central
Product D,2023-08-29,3021.26,44,West
Product A,2023-09-08,4979.91,14,North
Product E,2024-07-21,4952.34,50,East
Product A,2021-05-30,2974.06,71,West
Product C,2022-12-07,2305.92,80,South
Product C,2020-12-16,3330.42,60,West
Product E,2024-10-15,1496.16,47,South
Product B,2024-08-07,4228.46,81,North
Product B,2020-12-19,2565.45,76,Central
Product B,2024-10-25,3038.35,33,East
Product E,2022-07-15,2137.04,47,North
Product C,2024-09-30,1010.18,77,West
Product A,2020-03-16,4551.05,83,North
Product A,2022-08-29,3564.18,99,Central
