Product,Date,Sales,Quantity,Region
Product C,2022-01-24,3843.48,67,North
Product C,2022-06-24,866.72,68,North
Product C,2022-05-17,4579.73,92,North
Product E,2024-09-17,4583.93,19,North
Product C,2024-04-16,2375.12,37,Central
Product B,2024-03-31,1191.03,35,Central
Product D,2023-11-13,543.53,39,South
Product A,2020-09-22,4036.86,52,North
Product B,2020-11-23,4097.57,46,North
Product A,2022-03-07,3932.8,67,East
Product C,2023-03-20,2826.7,77,West
Product E,2022-04-17,1134.46,35,East
Product D,2024-11-15,630.75,4,South
Product B,2023-12-10,3512.25,23,South
Product A,2022-06-03,1984.15,2,South
Product B,2023-06-12,1875.7,61,South
Product D,2021-02-09,734.7,8,South
Product A,2022-04-03,2866.12,90,West
Product A,2022-03-11,223.12,33,South
Product D,2021-08-19,1663.76,96,South
Product B,2021-02-27,4300.83,12,East
Product B,2022-05-16,2034.09,64,East
Product D,2022-04-14,3476.46,98,North
Product D,2020-09-17,4199.6,59,North
Product E,2020-02-13,1176.55,1,East
Product E,2022-01-10,2754.63,12,North
Product E,2023-11-25,3248.24,6,West
Product C,2023-10-14,2317.21,85,East
Product D,2023-02-16,4569.26,51,Central
Product C,2023-04-10,2437.28,85,North
Product E,2020-06-21,2480.83,57,North
Product D,2021-04-25,2401.66,3,West
Product B,2020-02-18,2392.23,22,Central
Product B,2023-12-28,877.67,32,Central
Product D,2020-10-16,4740.89,42,North
Product A,2020-09-03,4064.95,42,Central
Product B,2023-08-01,4548.31,52,Central
Product C,2023-04-24,2775.31,45,Central
Product A,2023-06-10,1349.23,52,West
Product D,2020-07-12,3737.47,90,South
Product E,2021-03-02,2274.51,35,West
Product C,2020-05-29,4592.48,25,West
Product B,2023-12-03,4162.4,95,East
Product C,2020-06-13,2368.06,77,North
Product A,2024-08-08,1648.85,19,West
Product D,2021-08-23,3696.86,42,North
Product A,2023-06-24,4163.15,13,East
Product B,2020-02-14,1676.48,8,Central
Product D,2020-11-03,593.21,44,South
Product A,2024-07-17,4239.58,2,West
Product C,2021-06-06,4429.21,59,East
Product C,2020-06-09,4002.95,47,East
Product E,2021-06-26,4694.8,55,South
Product D,2022-05-31,1372.37,41,East
Product D,2024-03-02,720.73,61,West
Product C,2021-05-07,203.98,7,South
Product C,2023-02-14,700.91,15,North
Product D,2024-09-11,627.43,45,Central
Product D,2021-02-26,3890.61,47,West
Product C,2024-01-06,966.97,47,North
Product A,2022-11-11,408.05,95,South
Product E,2019-12-18,222.71,68,East
Product A,2020-07-27,1367.27,75,North
Product E,2023-03-09,969.8,98,Central
Product A,2024-05-16,705.72,38,South
Product B,2021-04-05,2842.84,43,South
Product D,2021-07-02,3852.77,32,East
Product C,2022-06-30,400.7,42,West
Product E,2023-02-04,885.48,17,North
Product C,2023-05-23,2439.96,65,North
Product B,2021-04-14,2167.7,50,Central
Product B,2020-12-24,3763.38,45,North
Product E,2024-07-15,1942.37,89,East
Product A,2023-09-08,4260.5,84,East
Product C,2023-10-17,2752.22,70,East
Product D,2020-02-21,4967.97,16,East
Product C,2021-09-27,4576.5,43,East
Product B,2023-11-26,4762.07,82,Central
Product E,2021-09-02,1074.67,70,East
Product A,2023-09-28,3217.16,100,South
Product C,2023-12-02,4216.3,21,North
Product D,2020-11-10,1006.3,90,North
Product C,2020-11-22,2426.39,11,South
Product B,2020-01-06,985.97,79,Central
Product A,2021-03-23,2362.73,65,East
Product D,2024-02-28,4353.78,33,South
Product E,2021-02-12,2752.69,25,South
Product A,2019-12-27,4514.38,30,Central
Product D,2022-02-21,198.93,76,East
Product B,2024-08-01,1353.82,91,Central
Product D,2021-10-17,458.23,69,East
Product B,2019-12-20,762.91,53,North
Product C,2022-02-10,3176.52,12,South
Product B,2023-08-08,3562.69,86,East
Product E,2023-07-04,2049.64,20,Central
Product D,2023-11-15,652.93,28,Central
Product C,2023-04-15,3574.95,87,South
Product B,2024-10-11,158.97,70,Central
Product D,2024-07-18,4412.65,2,South
Product D,2023-06-08,424.25,43,East
